FID;fid_;E;N;ADA_ID;VELOCITY;X;Y;SATELLITE;GEOMETRY;TRACK;FRAME;INIT_DATE;FINAL_DATE;PIXEL_SIZE;SOFTWARE;PAPERS;COHERENCE;Lon_ETRS89;Lat_ETRS89;MEAN_VLOS;Lon_WGS84;Lat_WGS84;PS_ID;DESC_UNIT;GeoUnif;Masas_subt;aguas_supf;emb_aux;red_trans;Moves;SubsEsp;QAFI_trace;QAFI_vecto;CODE_18;pendientes;Subsidence;Proceso
346;354;613184,611180000007153;4166878,229650000110269;30;-1,115200000000000;-1,717080000000000;37,642080000000000;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613184,611180000007153;4166878,229650000110269;-1,115200000000000;-1,717000000000000;37,642080000000000;S1_DESC_SPA_MURC_20150227_20210607_-1.717_37.64208;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;0,415830000000000;4;Sub_Agua
347;355;613192,583938000025228;4160868,058160000015050;30;-1,706000000000000;-1,717920000000000;37,587919999999997;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613192,583938000025228;4160868,058160000015050;-1,706000000000000;-1,718000000000000;37,587919999999997;S1_DESC_SPA_MURC_20150227_20210607_-1.718_37.58792;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;212;0,547020000000000;4;Sub_Agua
348;356;613201,043880000011995;4165676,615619999822229;30;-1,719700000000000;-1,717080000000000;37,631250000000001;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613201,043880000011995;4165676,615619999822229;-1,719700000000000;-1,717000000000000;37,631250000000001;S1_DESC_SPA_MURC_20150227_20210607_-1.717_37.63125;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;1,089860000000000;4;Sub_Agua
349;357;613207,370069999946281;4165213,944840000011027;30;-2,019700000000000;-1,717080000000000;37,627079999999999;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613207,370069999946281;4165213,944840000011027;-2,019700000000000;-1,717000000000000;37,627079999999999;S1_DESC_SPA_MURC_20150227_20210607_-1.717_37.62708;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;0,335570000000000;4;Sub_Agua
350;358;613238,961674000020139;4162902,814689999911934;30;-2,598600000000000;-1,717080000000000;37,606250000000003;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613238,961674000020139;4162902,814689999911934;-2,598600000000000;-1,717000000000000;37,606250000000003;S1_DESC_SPA_MURC_20150227_20210607_-1.717_37.60625;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;0,964690000000000;4;Sub_Agua
351;359;613260,443877000012435;4161330,629290000069886;30;-1,985200000000000;-1,717080000000000;37,592080000000003;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613260,443877000012435;4161330,629290000069886;-1,985200000000000;-1,717000000000000;37,592080000000003;S1_DESC_SPA_MURC_20150227_20210607_-1.717_37.59208;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;212;0,614460000000000;4;Sub_Agua
352;360;613303,379875999991782;4163550,665680000092834;30;-2,150500000000000;-1,716250000000000;37,612079999999999;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613303,379875999991782;4163550,665680000092834;-2,150500000000000;-1,716000000000000;37,612079999999999;S1_DESC_SPA_MURC_20150227_20210607_-1.716_37.61208;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;0,719120000000000;4;Sub_Agua
353;361;613304,639358000014909;4163458,575590000022203;30;-2,347600000000000;-1,716250000000000;37,611249999999998;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613304,639358000014909;4163458,575590000022203;-2,347600000000000;-1,716000000000000;37,611249999999998;S1_DESC_SPA_MURC_20150227_20210607_-1.716_37.61125;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;0,593730000000000;4;Sub_Agua
354;362;613328,532084999955259;4167065,524749999865890;30;-1,172200000000000;-1,715420000000000;37,643749999999997;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613328,532084999955259;4167065,524749999865890;-1,172200000000000;-1,715000000000000;37,643749999999997;S1_DESC_SPA_MURC_20150227_20210607_-1.715_37.64375;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;242;0,683430000000000;4;Sub_Agua
355;363;613338,772854999988340;4160962,162099999841303;30;-1,716900000000000;-1,716250000000000;37,588749999999997;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613338,772854999988340;4160962,162099999841303;-1,716900000000000;-1,716000000000000;37,588749999999997;S1_DESC_SPA_MURC_20150227_20210607_-1.716_37.58875;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;212;0,582740000000000;4;Sub_Agua
356;364;613343,725763999973424;4165956,000609999988228;30;-1,607500000000000;-1,715420000000000;37,633749999999999;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613343,725763999973424;4165956,000609999988228;-1,607500000000000;-1,715000000000000;37,633749999999999;S1_DESC_SPA_MURC_20150227_20210607_-1.715_37.63375;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;0,813860000000000;4;Sub_Agua
357;365;613402,641960000037216;4167066,540039999876171;30;-1,164400000000000;-1,714580000000000;37,643749999999997;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613402,641960000037216;4167066,540039999876171;-1,164400000000000;-1,715000000000000;37,643749999999997;S1_DESC_SPA_MURC_20150227_20210607_-1.715_37.64375;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;0,310070000000000;4;Sub_Agua
